,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
34367, 25 COLLEGE GREEN DUNEARN ROAD HOSTELS SINGAPORE 299684 ,25,DUNEARN ROAD HOSTELS,1.324305,103.816463,299684,COLLEGE GREEN,26124.14199,34060.3979
108356, 108 ENG KONG ROAD ENG KONG PARK SINGAPORE 599076 ,108,ENG KONG PARK,1.334013,103.768178,599076,ENG KONG ROAD,20750.52464,35133.99336
105544, 69A HUA GUAN AVENUE SINGAPORE 589225 ,69A,NIL,1.342484,103.784592,589225,HUA GUAN AVENUE,22577.22004,36070.58747
111336, 300 AYER MERBAU ROAD SINGAPORE 628282 ,300,NIL,1.271415,103.713664,628282,AYER MERBAU ROAD,14683.32934,28212.44956
49661, 174 LORONG SARINA SARINA PARK SINGAPORE 416726 ,174,SARINA PARK,1.321068,103.908054,416726,LORONG SARINA,36317.30011,33702.64701
135881, 19 NIM RISE NIM COLLECTION SINGAPORE 804429 ,19,NIM COLLECTION,1.380386,103.86279,804429,NIM RISE,31279.78018,40261.64786
65640, 681 EAST COAST ROAD FRANKEL ESTATE SINGAPORE 459052 ,681,FRANKEL ESTATE,1.311824,103.921571,459052,EAST COAST ROAD,37821.71552,32680.52535
103655, 61 FULTON ROAD FULTON HILL SINGAPORE 578944 ,61,FULTON HILL,1.361772,103.834743,578944,FULTON ROAD,28158.50172,38203.32781
73325, 15 JALAN PARI KIKIS PEAKVIEW ESTATE SINGAPORE 488541 ,15,PEAKVIEW ESTATE,1.331316,103.943326,488541,JALAN PARI KIKIS,40242.70162,34836.0037
54904, 78A LORONG J TELOK KURAU SINGAPORE 425879 ,78A,NIL,1.313796,103.910501,425879,LORONG J TELOK KURAU,36589.67734,32898.58126
41787, 22P LORONG SELANGAT SOMMERVILLE REGENCY SINGAPORE 358744 ,22P,SOMMERVILLE REGENCY,1.346073,103.868011,358744,LORONG SELANGAT,31860.87695,36467.4525
120591, 31 JALAN ASAS FUYONG ESTATE SINGAPORE 678792 ,31,FUYONG ESTATE,1.358656,103.767968,678792,JALAN ASAS,20727.27565,37858.84084
98579, 5012 ANG MO KIO AVENUE 5 TECHPLACE II SINGAPORE 569876 ,5012,TECHPLACE II,1.377038,103.865458,569876,ANG MO KIO AVENUE 5,31576.67075,39891.43362
118631, 2F JALAN REMAJA HILLVIEW GARDEN ESTATE SINGAPORE 668669 ,2F,HILLVIEW GARDEN ESTATE,1.357857,103.761054,668669,JALAN REMAJA,19957.72848,37770.53112
132649, 172 TAGORE LANE SINDO INDUSTRIAL ESTATE SINGAPORE 787576 ,172,SINDO INDUSTRIAL ESTATE,1.386496,103.830471,787576,TAGORE LANE,27683.14425,40937.16891
